date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:42	90519/90519	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:20:54%20GMT	https://themebeyond.com/html/ganic/	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/index.html	(from )
22:34:43	633/633	---MCZ	200	added ('OK')	text/plain	date:Sun,%2005%20Sep%202021%2015:34:43%20GMT	https://themebeyond.com/robots.txt		(from )
22:34:45	161409/161409	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2015:00:18%20GMT	https://themebeyond.com/html/ganic/css/bootstrap.min.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/bootstrap.min.css	(from https://themebeyond.com/html/ganic/)
22:34:45	68581/68581	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Aug%202021%2021:27:44%20GMT	https://themebeyond.com/html/ganic/css/animate.min.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/animate.min.css	(from https://themebeyond.com/html/ganic/)
22:34:46	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202017%2019:11:48%20GMT	https://themebeyond.com/html/ganic/css/magnific-popup.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/magnific-popup.css	(from https://themebeyond.com/html/ganic/)
22:34:48	59294/59294	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Jun%202021%2017:08:02%20GMT	https://themebeyond.com/html/ganic/css/fontawesome-all.min.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/fontawesome-all.min.css	(from https://themebeyond.com/html/ganic/)
22:34:48	16233/16233	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Aug%202021%2000:45:04%20GMT	https://themebeyond.com/html/ganic/css/jquery-ui.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/jquery-ui.css	(from https://themebeyond.com/html/ganic/)
22:34:49	2086896/2086896	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jul%202021%2015:21:32%20GMT	https://themebeyond.com/html/ganic/img/favicon.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/favicon.png	(from https://themebeyond.com/html/ganic/)
22:34:49	3116/3116	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2022:55:10%20GMT	https://themebeyond.com/html/ganic/css/flaticon.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/flaticon.css	(from https://themebeyond.com/html/ganic/)
22:34:50	26053/26053	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Oct%202018%2016:14:14%20GMT	https://themebeyond.com/html/ganic/css/aos.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/aos.css	(from https://themebeyond.com/html/ganic/)
22:34:51	1776/1776	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2022:08:14%20GMT	https://themebeyond.com/html/ganic/css/slick.css	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/css/slick.css	(from https://themebeyond.com/html/ganic/)
